開催日,格,レース名,競馬場,距離,馬名,父,母,母父,馬主,生産牧場,セリ結果,写真URL
2026/01/04,,3歳1勝クラス,京都,芝2000m,ジュウリョクピエロ,オルフェーヴル,ハッピーヴァリュー,ゼンノロブロイ,近藤　健介,飛野牧場,,
2026/01/04,,3歳新馬,中山,ダ1200m,エアサロメ,ドレフォン,エアハンコック,キングカメハメハ,ラッキーフィールド,社台ファーム,,
2026/01/04,,3歳新馬,中山,芝2000m,トップオブザライン,ドレフォン,ラスティングソング,フジキセキ,平田　修,ノーザンファーム,"6,600万円（セレクトセール）",
2026/01/04,,3歳未勝利,中山,ダ1800m,サトノリシャール,レイデオロ,ストーミーエンブレイス,Circular Quay,里見　治,レイクヴィラファーム,"5,170万円（ノーザンファームミックスセール）",
2026/01/04,,3歳未勝利,中山,ダ1200m,フュルスティン,ダノンキングリー,ヤンチャヒメ,クロフネ,橋本　実,アイズスタッド,"1,650万円（北海道サマーセール）",
2026/01/04,,3歳未勝利,京都,ダ1200m,リーグナイト,キズナ,サリエル,キングカメハメハ,ノースヒルズ,ノースヒルズ,,
2026/01/04,,4歳上1勝クラス,京都,ダ1200m,イマージョン,ロードカナロア,アディクティド,ディクタット,キャロットファーム,ノーザンファーム,,
2026/01/04,,4歳上1勝クラス,中山,ダ1800m,バタール,ナダル,アデレードヒル,ゴールドヘイロー,長谷川　祐司,ノーザンファーム,"6,380万円（セレクトセール）",
2026/01/04,L,ジュニアカップ,中山,芝1600m,リゾートアイランド,イスラボニータ,エディスバーグ,Frankel,柳田　将司,ノーザンファーム,"3,960万円（セレクトセール）",
2026/01/04,,招福ステークス（4歳以上3勝クラス）,中山,ダ1800m,アスクデビューモア,マインドユアビスケッツ,アスクデピュティ,フレンチデピュティ,廣崎利洋ＨＤ,社台コーポレーション白老ファーム,"4,070万円（千葉サラブレッドセール）",
2026/01/04,G3,日刊スポーツ賞中山金杯,中山,芝2000m,カラマティアノス,レイデオロ,ダンサール,ハーツクライ,サンデーレーシング,ノーザンファーム,,
2026/01/05,,3歳1勝クラス,中山,芝2000m,ステラスペース,レイデオロ,フィリポナ,ブラックタイド,落合　幸弘,新冠橋本牧場,,
2026/01/05,,3歳1勝クラス,京都,ダ1800m,テイエムサンレーヴ,ルヴァンスレーヴ,サンジョアン,ルーラーシップ,竹園　正繼,グランド牧場,"5,720万円（北海道セレクションセール）",
2026/01/05,,3歳未勝利,京都,芝1600m,ベルサンローラン,キタサンブラック,エレアノラデュース,Azamour,宮崎　俊也,フジワラフアーム,,
2026/01/05,,3歳未勝利,中山,ダ1800m,ラングドシャ,キズナ,ウアラネージュ,エイシンフラッシュ,保坂　和孝,アスラン,"2,200万円（北海道セレクションセール）",
2026/01/05,,4歳上1勝クラス,中山,ダ2400m,キャストロププ,ルヴァンスレーヴ,キャストロメファ,トワイニング,手嶋　康雄,田湯牧場,,
2026/01/05,,4歳上1勝クラス,京都,芝1600m,サンタンカ,モーリス,ハピネス,コマンズ,ゴドルフィン,ダーレー・ジャパン・ファーム,,
2026/01/05,,4歳上1勝クラス,京都,ダ1800m,ルクスフレンジー,モーリス,サトノアイリ,ステイゴールド,ルクス,千代田牧場,,
2026/01/05,OP,万葉ステークス,京都,芝3000m,アクアヴァーナル,エピファネイア,エイプリルミスト,ディープインパクト,吉田　勝己,ノーザンファーム,,
2026/01/05,OP,中山新春ジャンプステークス,中山,障3200m,コンテナワールド,エピファネイア,ユッカマウンテン,アグネスタキオン,住谷　孝一,社台コーポレーション白老ファーム,"9,020万円（セレクトセール）",
2026/01/10,,3歳新馬,中山,芝2000m,ランザワールド,コントレイル,ビッグワールド,Custom for Carlos,キャロットファーム,ノーザンファーム,,
2026/01/10,,3歳未勝利,京都,芝2400m,ガウディ,レイデオロ,グラディーヴァ,ハービンジャー,近藤　英子,レイクヴィラファーム,,
2026/01/10,,3歳未勝利,京都,ダ1800m,クイーンズドリーム,クリソベリル,アンデスクイーン,タートルボウル,グリーンファーム,ノーザンファーム,,
2026/01/10,,3歳未勝利,中山,ダ1200m,コックピットサイト,ドレフォン,ベラポーサ,Tapit,山田　弘,追分ファーム,"2,860万円（北海道セレクションセール）",
2026/01/10,,3歳未勝利,中山,芝1600m,ディールメーカー,イスラボニータ,アームズレングス,ホワイトマズル,諸江　幸祐,社台ファーム,,
2026/01/10,,4歳上1勝クラス,中山,ダ1200m,キボウノホシ,ロードカナロア,アイアムカミノマゴ,アグネスタキオン,ワイズマン,坂東牧場,,
2026/01/10,,4歳上1勝クラス,京都,ダ1200m,ベンダバール,ドレフォン,ラヴアズギフト,Tiznow,グリーンファーム,新井昭二牧場,,
2026/01/10,,初凪賞（4歳以上2勝クラス）,中山,芝1600m,マテンロウブラボー,モーリス,トリニティプレイス,マンハッタンカフェ,寺田　千代乃,下河辺牧場,"3,410万円（セレクトセール）",
2026/01/10,,黒竹賞（3歳1勝クラス）,中山,ダ1800m,マクリール,ロードカナロア,アイリッシュシー,Galileo,シルクレーシング,ノーザンファーム,,
2026/01/11,,3歳未勝利,京都,ダ1400m,ウルスツイスター,ルヴァンスレーヴ,プリンセスバリュー,サウスヴィグラス,村上　憲政,岡田牧場,,
2026/01/11,,3歳未勝利,京都,芝1800m,ナリタエスペランサ,キタサンブラック,ワンダーフィリー,Invincible Spirit,オースミ,三嶋牧場,,
2026/01/11,,4歳上1勝クラス,中山,芝1600m,クライスレリアーナ,サートゥルナーリア,シユーマ,Medicean,サンデーレーシング,ノーザンファーム,,
2026/01/11,,4歳上1勝クラス,中山,ダ1800m,サトミノエンジェル,マインドユアビスケッツ,アーキタイプ,ディープインパクト,田代　洋己,下河辺牧場,,
2026/01/11,,4歳上1勝クラス,京都,芝2000m,ロールザダイス,エピファネイア,エレーデ,ディープインパクト,ノースヒルズ,ノースヒルズ,,
2026/01/11,,4歳上2勝クラス,京都,ダ1400m,ラファル,ドレフォン,アグネスリース,フレンチデピュティ,カナヤマホールディングス,カタオカフアーム,"2,860万円（北海道セレクションセール）",
2026/01/11,G3,フェアリーステークス,中山,芝1600m,ブラックチャリス,キタサンブラック,ゴールドチャリス,トゥザワールド,フィールドレーシング,ノーザンファーム,,
2026/01/11,OP,ポルックスステークス,中山,ダ1800m,カゼノランナー,キズナ,ヴァイセフラウ,キングカメハメハ,前田　幸大,ノースヒルズ,,
2026/01/11,,新春ステークス（4歳以上3勝クラス）,京都,芝1600m,ベラジオボンド,ロードカナロア,ダンサーデスティネイション,Dubai Destination,ベラジオレーシング,社台ファーム,"11,000万円（千葉サラブレッドセール）",
2026/01/12,,3歳1勝クラス,中山,芝1200m,ヒシアイラ,モーリス,ジングルベルロック,Rock of Gibraltar,Ｈｉｓｈｉ　Ｐａｒｔｎｅｒｓ,坂東牧場,,
2026/01/12,,3歳未勝利,京都,芝1400m,ケールハイム,エピファネイア,ドナウブルー,ディープインパクト,サンデーレーシング,ノーザンファーム,,
2026/01/12,,3歳未勝利,中山,芝2000m,サトノマティーニ,エピファネイア,キャッチザカクテル,Catcher In The Rye,里見　治,三嶋牧場,,
2026/01/12,,3歳未勝利,京都,ダ1800m,サヴォアフェール,エピファネイア,ナニアヒアヒ,キングカメハメハ,水上　行雄,笠松牧場,,
2026/01/12,,4歳上1勝クラス,中山,芝2000m,キャピタルリッチ,オルフェーヴル,オークヒルパーク,アグネスタキオン,宇田　豊,白井牧場,,
2026/01/12,,4歳上1勝クラス,中山,ダ1800m,フィールオーサム,ルヴァンスレーヴ,フィールザプリティ,ブラックタイド,櫻井　正,平岡牧場,,
2026/01/12,,4歳上1勝クラス,京都,ダ1400m,メイケイレイン,レイデオロ,ベルライン,ダイワメジャー,名古屋競馬,厚賀古川牧場,"3,850万円（北海道セレクションセール）",
2026/01/12,,4歳上1勝クラス,京都,ダ1800m,レディゴディヴァ,ルヴァンスレーヴ,カヒリ,キングカメハメハ,川崎　賢二,北星村田牧場,,
2026/01/12,G3,日刊スポーツ賞シンザン記念,京都,芝1600m,サンダーストラック,ロードカナロア,シーブルック,Hinchinbrook,キャロットファーム,ノーザンファーム,,
2026/01/17,,3歳1勝クラス,京都,ダ1800m,トリグラフヒル,ナダル,トリプライト,ワイルドラッシュ,サンデーレーシング,ノーザンファーム,,
2026/01/17,,3歳未勝利,中山,ダ1800m,ウリズンベー,ルヴァンスレーヴ,ヌチバナ,キングカメハメハ,Ｇ１レーシング,追分ファーム,,
2026/01/17,,3歳未勝利,中山,ダ1200m,サントマーレ,ロードカナロア,リミニ,ディープインパクト,シルクレーシング,ノーザンファーム,,
2026/01/17,,3歳未勝利,京都,芝2000m,ラコンチャビエン,キズナ,チェロキーメイドン,Distorted Humor,モンレーヴ,グランド牧場,,
